STATISTIK 2025-01-01 - 2025-12-01
# CALLS (LONG):  115   # SELLS (SHORT): 90
WINRATE:  34%  (69W/136L/0N)
avg CRV:  2.97
Summe R:  +74.58
Gesamtgewinn: +33.56% (Risiko 0.45%/Trade)

=== SETUP B: RECLAIM-SIGNALE (alle Trades) ===
Parameter: SL_PCT=0.45 | TP2_PUFFER_PCT=0.2 | Split 25/75 | TRAILING_PCT=0.0 | MIN_RECLAIM_BOUNCE=2 | MIN_RECLAIM_CRV=1.0 | Cooldown=12 Bars | KEIN SL-NACHZUG
Nr | Phase | Signal-Bar(ts)      | Typ   | Reclaim  | EntryBar | Entry   | SL      | TP1     | TP2     | CRV   | CRV2  | Bo | Exit1   | Grund | R1    | Exit2   | Grund | R2    | R-mult | Resultat
147 | P31 | 2025-09-23 04:15 | LONG  | next_bar |    17159 | 43.707 | 43.510 | 44.028 | 44.006 | 1.63 | 1.52 |  2 | 44.028 | TP1   | +1.63 | 44.006 | TP2   | +1.52 | +1.55 | GEWONNEN
148 | P31 | 2025-09-23 09:00 | LONG  | in_bar   |    17177 | 43.761 | 43.564 | 44.027 | 43.990 | 1.35 | 1.16 |  3 | 44.027 | TP1   | +1.35 | 43.990 | TP2   | +1.16 | +1.21 | GEWONNEN
149 | P31 | 2025-09-23 13:45 | SHORT | next_bar |    17197 | 44.242 | 44.441 | 44.024 | 43.721 | 1.09 | 2.62 |  2 | 44.441 | SL    | -1.00 | 44.441 | SL    | -1.00 | -1.00 | VERLOREN
150 | P31 | 2025-09-24 04:15 | LONG  | in_bar   |    17250 | 43.722 | 43.525 | 44.273 | 44.301 | 2.80 | 2.94 |  8 | 44.273 | TP1   | +2.80 | 44.301 | TP2   | +2.94 | +2.91 | GEWONNEN
151 | P31 | 2025-09-24 20:00 | LONG  | in_bar   |    17313 | 43.787 | 43.590 | 44.081 | 44.274 | 1.49 | 2.47 | 13 | 44.081 | TP1   | +1.49 | 44.274 | TP2   | +2.47 | +2.23 | GEWONNEN
152 | P32 | 2025-09-25 12:30 | SHORT | in_bar   |    17375 | 44.989 | 45.191 | 44.764 | 44.656 | 1.11 | 1.64 |  2 | 44.764 | TP1   | +1.11 | 44.656 | TP2   | +1.64 | +1.51 | GEWONNEN
153 | P32 | 2025-09-25 15:45 | LONG  | in_bar   |    17388 | 44.381 | 44.181 | 44.834 | 44.913 | 2.27 | 2.67 |  2 | 44.834 | TP1   | +2.27 | 44.913 | TP2   | +2.67 | +2.57 | GEWONNEN
154 | P33 | 2025-09-26 20:00 | SHORT | in_bar   |    17497 | 46.416 | 46.625 | 45.639 | 45.495 | 3.72 | 4.41 |  2 | 46.625 | SL    | -1.00 | 46.625 | SL    | -1.00 | -1.00 | VERLOREN
155 | P34 | 2025-09-29 09:45 | LONG  | in_bar   |    17548 | 46.680 | 46.470 | 46.962 | 47.025 | 1.34 | 1.64 |  3 | 46.962 | TP1   | +1.34 | 47.025 | TP2   | +1.64 | +1.57 | GEWONNEN
156 | P34 | 2025-09-29 15:45 | LONG  | in_bar   |    17572 | 46.610 | 46.400 | 46.860 | 46.982 | 1.19 | 1.77 |  5 | 46.860 | TP1   | +1.19 | 46.982 | TP2   | +1.77 | +1.63 | GEWONNEN
157 | P36 | 2025-10-01 05:30 | LONG  | in_bar   |    17715 | 46.968 | 46.757 | 47.415 | 47.442 | 2.12 | 2.24 |  2 | 46.757 | SL    | -1.00 | 46.757 | SL    | -1.00 | -1.00 | VERLOREN
158 | P36 | 2025-10-01 16:15 | SHORT | next_bar |    17759 | 47.663 | 47.877 | 47.265 | 46.984 | 1.85 | 3.16 |  3 | 47.265 | TP1   | +1.85 | 46.984 | TP2   | +3.16 | +2.84 | GEWONNEN
159 | P36 | 2025-10-02 14:15 | SHORT | in_bar   |    17842 | 47.674 | 47.889 | 47.434 | 47.036 | 1.12 | 2.97 |  6 | 47.889 | SL    | -1.00 | 47.889 | SL    | -1.00 | -1.00 | VERLOREN
160 | P36 | 2025-10-02 16:15 | LONG  | in_bar   |    17850 | 46.993 | 46.782 | 47.422 | 47.683 | 2.03 | 3.26 |  6 | 46.782 | SL    | -1.00 | 46.782 | SL    | -1.00 | -1.00 | VERLOREN
161 | P38 | 2025-10-06 13:30 | LONG  | next_bar |    18024 | 48.386 | 48.168 | 48.612 | 48.629 | 1.04 | 1.11 |  2 | 48.168 | SL    | -1.00 | 48.168 | SL    | -1.00 | -1.00 | VERLOREN
162 | P38 | 2025-10-07 03:00 | LONG  | in_bar   |    18073 | 48.300 | 48.083 | 48.603 | 48.629 | 1.39 | 1.51 |  5 | 48.603 | TP1   | +1.39 | 48.629 | TP2   | +1.51 | +1.48 | GEWONNEN
163 | P38 | 2025-10-07 19:00 | LONG  | in_bar   |    18137 | 47.689 | 47.474 | 48.570 | 48.653 | 4.11 | 4.49 |  3 | 47.474 | SL    | -1.00 | 47.474 | SL    | -1.00 | -1.00 | VERLOREN
164 | P40 | 2025-10-09 15:00 | SHORT | in_bar   |    18305 | 50.599 | 50.827 | 49.952 | 49.813 | 2.84 | 3.45 |  2 | 49.952 | TP1   | +2.84 | 49.813 | TP2   | +3.45 | +3.30 | GEWONNEN
165 | P40 | 2025-10-09 19:15 | LONG  | in_bar   |    18322 | 48.855 | 48.635 | 49.983 | 51.118 | 5.13 | 10.29 |  2 | 48.635 | SL    | -1.00 | 48.635 | SL    | -1.00 | -1.00 | VERLOREN
166 | P41 | 2025-10-13 11:45 | LONG  | in_bar   |    18472 | 51.222 | 50.992 | 51.582 | 51.574 | 1.56 | 1.53 |  3 | 50.992 | SL    | -1.00 | 50.992 | SL    | -1.00 | -1.00 | VERLOREN
167 | P41 | 2025-10-13 16:30 | SHORT | next_bar |    18492 | 51.921 | 52.155 | 51.587 | 51.102 | 1.43 | 3.50 |  2 | 51.587 | TP1   | +1.43 | 52.155 | SL    | -1.00 | -0.39 | VERLOREN
168 | P42 | 2025-10-14 03:30 | SHORT | in_bar   |    18531 | 52.800 | 53.038 | 52.548 | 52.436 | 1.06 | 1.53 |  2 | 53.038 | SL    | -1.00 | 53.038 | SL    | -1.00 | -1.00 | VERLOREN
169 | P42 | 2025-10-14 07:45 | LONG  | in_bar   |    18548 | 52.177 | 51.942 | 52.817 | 53.174 | 2.72 | 4.25 |  2 | 51.942 | SL    | -1.00 | 51.942 | SL    | -1.00 | -1.00 | VERLOREN
170 | P42 | 2025-10-14 14:30 | LONG  | in_bar   |    18575 | 50.569 | 50.341 | 51.439 | 52.836 | 3.82 | 9.96 |  2 | 51.439 | TP1   | +3.82 | 52.836 | TP2   | +9.96 | +8.43 | GEWONNEN
171 | P43 | 2025-10-16 18:15 | SHORT | in_bar   |    18774 | 54.090 | 54.333 | 53.808 | 53.851 | 1.16 | 0.98 |  2 | 53.808 | TP1   | +1.16 | 53.851 | TP2   | +0.98 | +1.03 | GEWONNEN
172 | P43 | 2025-10-16 22:30 | SHORT | next_bar |    18792 | 54.156 | 54.400 | 53.853 | 53.672 | 1.24 | 1.99 |  4 | 53.853 | TP1   | +1.24 | 53.672 | TP2   | +1.99 | +1.80 | GEWONNEN
173 | P43 | 2025-10-17 03:30 | LONG  | in_bar   |    18807 | 53.569 | 53.328 | 53.846 | 54.110 | 1.15 | 2.24 |  5 | 53.846 | TP1   | +1.15 | 54.110 | TP2   | +2.24 | +1.97 | GEWONNEN
174 | P43 | 2025-10-17 07:15 | SHORT | next_bar |    18823 | 54.261 | 54.505 | 53.845 | 53.560 | 1.70 | 2.87 |  4 | 53.845 | TP1   | +1.70 | 53.560 | TP2   | +2.87 | +2.58 | GEWONNEN
175 | P45 | 2025-10-22 00:30 | SHORT | in_bar   |    19071 | 48.618 | 48.837 | 48.299 | 48.052 | 1.46 | 2.59 |  2 | 48.299 | TP1   | +1.46 | 48.052 | TP2   | +2.59 | +2.30 | GEWONNEN
176 | P45 | 2025-10-22 04:15 | SHORT | in_bar   |    19086 | 48.843 | 49.063 | 48.466 | 47.863 | 1.72 | 4.46 |  2 | 49.063 | SL    | -1.00 | 49.063 | SL    | -1.00 | -1.00 | VERLOREN
177 | P45 | 2025-10-22 08:45 | SHORT | in_bar   |    19104 | 49.207 | 49.428 | 48.904 | 48.027 | 1.37 | 5.33 |  2 | 48.904 | TP1   | +1.37 | 48.027 | TP2   | +5.33 | +4.34 | GEWONNEN
178 | P45 | 2025-10-22 12:45 | LONG  | in_bar   |    19120 | 48.028 | 47.812 | 48.904 | 49.068 | 4.05 | 4.81 |  4 | 47.812 | SL    | -1.00 | 47.812 | SL    | -1.00 | -1.00 | VERLOREN
179 | P45 | 2025-10-23 08:45 | SHORT | in_bar   |    19196 | 49.102 | 49.323 | 48.194 | 47.934 | 4.11 | 5.29 |  3 | 49.323 | SL    | -1.00 | 49.323 | SL    | -1.00 | -1.00 | VERLOREN
180 | P45 | 2025-10-23 13:00 | SHORT | next_bar |    19214 | 49.160 | 49.381 | 48.192 | 47.950 | 4.38 | 5.47 |  4 | 49.381 | SL    | -1.00 | 49.381 | SL    | -1.00 | -1.00 | VERLOREN
181 | P45 | 2025-10-23 16:00 | SHORT | in_bar   |    19225 | 49.207 | 49.428 | 48.219 | 47.965 | 4.46 | 5.61 |  5 | 48.219 | TP1   | +4.46 | 47.965 | TP2   | +5.61 | +5.32 | GEWONNEN
182 | P47 | 2025-10-28 12:45 | SHORT | in_bar   |    19492 | 46.436 | 46.645 | 45.904 | 45.704 | 2.55 | 3.50 |  2 | 46.645 | SL    | -1.00 | 46.645 | SL    | -1.00 | -1.00 | VERLOREN
183 | P48 | 2025-10-29 19:30 | LONG  | in_bar   |    19611 | 47.384 | 47.171 | 48.244 | 48.299 | 4.03 | 4.29 |  4 | 48.244 | TP1   | +4.03 | 48.299 | TP2   | +4.29 | +4.23 | GEWONNEN
184 | P48 | 2025-10-30 03:15 | LONG  | next_bar |    19639 | 47.459 | 47.245 | 48.244 | 48.279 | 3.67 | 3.84 |  5 | 48.244 | TP1   | +3.67 | 48.279 | TP2   | +3.84 | +3.80 | GEWONNEN
185 | P49 | 2025-10-31 02:45 | SHORT | in_bar   |    19728 | 49.080 | 49.301 | 48.821 | 48.729 | 1.17 | 1.59 |  5 | 48.821 | TP1   | +1.17 | 48.729 | TP2   | +1.59 | +1.49 | GEWONNEN
186 | P49 | 2025-10-31 07:00 | SHORT | in_bar   |    19745 | 49.103 | 49.324 | 48.821 | 48.741 | 1.28 | 1.64 |  4 | 49.324 | SL    | -1.00 | 49.324 | SL    | -1.00 | -1.00 | VERLOREN
187 | P49 | 2025-10-31 18:30 | LONG  | in_bar   |    19791 | 48.629 | 48.410 | 48.860 | 49.134 | 1.06 | 2.31 |  3 | 48.410 | SL    | -1.00 | 48.410 | SL    | -1.00 | -1.00 | VERLOREN
188 | P49 | 2025-11-03 01:45 | LONG  | next_bar |    19813 | 48.547 | 48.329 | 48.860 | 49.157 | 1.43 | 2.79 |  4 | 48.860 | TP1   | +1.43 | 48.329 | SL    | -1.00 | -0.39 | VERLOREN
189 | P49 | 2025-11-03 16:15 | LONG  | next_bar |    19871 | 48.519 | 48.301 | 48.837 | 49.114 | 1.45 | 2.73 |  8 | 48.301 | SL    | -1.00 | 48.301 | SL    | -1.00 | -1.00 | VERLOREN
190 | P49 | 2025-11-03 21:00 | LONG  | next_bar |    19889 | 48.241 | 48.024 | 48.835 | 49.022 | 2.73 | 3.60 |  7 | 48.024 | SL    | -1.00 | 48.024 | SL    | -1.00 | -1.00 | VERLOREN
191 | P49 | 2025-11-04 11:15 | LONG  | in_bar   |    19941 | 47.796 | 47.581 | 48.830 | 49.093 | 4.81 | 6.03 |  3 | 47.581 | SL    | -1.00 | 47.581 | SL    | -1.00 | -1.00 | VERLOREN
192 | P49 | 2025-11-04 16:45 | LONG  | next_bar |    19964 | 47.511 | 47.297 | 48.828 | 49.083 | 6.16 | 7.35 |  5 | 47.297 | SL    | -1.00 | 47.297 | SL    | -1.00 | -1.00 | VERLOREN
193 | P50 | 2025-11-10 14:00 | SHORT | in_bar   |    20320 | 50.120 | 50.346 | 49.890 | 49.628 | 1.02 | 2.18 |  2 | 49.890 | TP1   | +1.02 | 49.628 | TP2   | +2.18 | +1.89 | GEWONNEN
194 | P51 | 2025-11-11 04:15 | SHORT | in_bar   |    20373 | 50.786 | 51.015 | 50.510 | 50.458 | 1.21 | 1.44 |  4 | 51.015 | SL    | -1.00 | 51.015 | SL    | -1.00 | -1.00 | VERLOREN
195 | P53 | 2025-11-13 01:15 | LONG  | next_bar |    20546 | 53.231 | 52.991 | 53.510 | 53.532 | 1.16 | 1.26 |  4 | 52.991 | SL    | -1.00 | 52.991 | SL    | -1.00 | -1.00 | VERLOREN
196 | P53 | 2025-11-13 06:30 | SHORT | in_bar   |    20566 | 54.177 | 54.421 | 53.380 | 53.118 | 3.27 | 4.35 |  3 | 53.380 | TP1   | +3.27 | 53.118 | TP2   | +4.35 | +4.08 | GEWONNEN
197 | P53 | 2025-11-13 09:30 | SHORT | in_bar   |    20578 | 54.301 | 54.545 | 53.381 | 53.100 | 3.76 | 4.92 |  5 | 53.381 | TP1   | +3.76 | 53.100 | TP2   | +4.92 | +4.63 | GEWONNEN
198 | P55 | 2025-11-18 00:30 | LONG  | in_bar   |    20818 | 49.572 | 49.349 | 49.925 | 50.179 | 1.58 | 2.72 |  3 | 49.925 | TP1   | +1.58 | 49.349 | SL    | -1.00 | -0.35 | VERLOREN
199 | P55 | 2025-11-18 05:00 | LONG  | next_bar |    20837 | 49.613 | 49.390 | 49.889 | 50.106 | 1.24 | 2.21 |  4 | 49.390 | SL    | -1.00 | 49.390 | SL    | -1.00 | -1.00 | VERLOREN
200 | P56 | 2025-11-18 13:45 | LONG  | next_bar |    20872 | 50.122 | 49.896 | 50.452 | 50.461 | 1.46 | 1.50 |  2 | 50.452 | TP1   | +1.46 | 50.461 | TP2   | +1.50 | +1.49 | GEWONNEN
201 | P56 | 2025-11-18 15:15 | SHORT | in_bar   |    20877 | 50.554 | 50.781 | 50.275 | 50.006 | 1.23 | 2.41 |  2 | 50.781 | SL    | -1.00 | 50.781 | SL    | -1.00 | -1.00 | VERLOREN
202 | P58 | 2025-11-21 08:00 | LONG  | in_bar   |    21124 | 49.253 | 49.031 | 49.750 | 49.844 | 2.24 | 2.67 |  3 | 49.031 | SL    | -1.00 | 49.031 | SL    | -1.00 | -1.00 | VERLOREN
203 | P59 | 2025-11-26 13:45 | LONG  | in_bar   |    21423 | 52.186 | 51.951 | 52.448 | 52.489 | 1.11 | 1.29 |  2 | 52.448 | TP1   | +1.11 | 52.489 | TP2   | +1.29 | +1.25 | GEWONNEN
204 | P60 | 2025-11-27 10:15 | LONG  | in_bar   |    21501 | 53.408 | 53.168 | 53.781 | 53.787 | 1.55 | 1.58 |  2 | 53.168 | SL    | -1.00 | 53.168 | SL    | -1.00 | -1.00 | VERLOREN
205 | P62 | 2025-11-28 18:45 | SHORT | next_bar |    21618 | 56.131 | 56.384 | 55.576 | 54.532 | 2.20 | 6.33 |  2 | 56.384 | SL    | -1.00 | 56.384 | SL    | -1.00 | -1.00 | VERLOREN
