# setup_c Phase-1-Kern (EMA-Slope-Trailing (Variante B)) - Fenster: AUG
# suppression_phasenlokal: True | cluster_a_max_vorlauf: 1 | stop_puffer: 0.15 | sl_pct_ref: 0.45
# RECHTS_ZENSIERT: r_f4/r_ref = NaN (E2, strikt isoliert)
horizont	phase	dir	entry_idx	entry_ts	entry_preis	f4_initial_stop	sl_usd	exit_idx	exit_ts	exit_preis	exit_grund	haltezeit_bars	r_f4	r_ref
300	1	up	66	2026-08-10 16:30:00	64.50300	63.76200	0.74100	111	2026-08-11 04:45:00	65.70500	TRAILING_SL_INTRABAR	45	1.62	4.14
300	5	down	620	2026-08-18 17:00:00	64.14600	64.77700	0.63100	680	2026-08-19 09:00:00	63.12800	TRAILING_SL_INTRABAR	60	1.61	3.53
