============================================================================================================
SETUP C RAW live-kausal | Fenster MAI26 | N=48
Zeitraum: 2026-05-01 .. 2026-06-01  (ende-exklusiv)
Trades: n=21  gewertet=21  zensiert=0
Summe R (r_f4): +25.71R   Summe r_ref: +45.60R
Mean R: 1.22   Median R: -0.60
Winrate: 47.6%  (10W/11L)
Profit Faktor: 3.47
Bester Trade: +11.27R   Schlechtester: -1.00R
Max Gewinnserie: 2 (Summe +5.86R)
Max Verlustserie: 3 (Summe -3.00R)
Max Drawdown (R-Kurve): -3.71R
Exit: INITIAL_SL_INTRABAR=9 | ZEIT_EXIT_CLOSE=12
mittl. Haltedauer: 32 Bars
============================================================================================================

============================================================================================================
SETUP C RAW live-kausal | Fenster MAI26 | N=96
Zeitraum: 2026-05-01 .. 2026-06-01  (ende-exklusiv)
Trades: n=21  gewertet=21  zensiert=0
Summe R (r_f4): +28.46R   Summe r_ref: +43.71R
Mean R: 1.36   Median R: -1.00
Winrate: 33.3%  (7W/14L)
Profit Faktor: 3.12
Bester Trade: +15.97R   Schlechtester: -1.00R
Max Gewinnserie: 2 (Summe +19.23R)
Max Verlustserie: 5 (Summe -4.40R)
Max Drawdown (R-Kurve): -5.49R
Exit: INITIAL_SL_INTRABAR=13 | ZEIT_EXIT_CLOSE=8
mittl. Haltedauer: 53 Bars
============================================================================================================

ALLE TRADES (chronologisch je Horizont, inkl. Zeitstempel):
  N | Phase | Dir  | Entry-TS          |   Entry | Exit-TS           |    Exit | Exit-Grund        |   HD |   r_f4 |  r_ref
------------------------------------------------------------------------------------------------------------
 48 | P1   | up   | 2026-05-01 14:30 |   74.887 | 2026-05-04 03:30 |   75.372 | ZEIT_EXIT_CLOSE        |   48 |   +0.45 |   +1.44
 48 | P2   | down | 2026-05-04 08:15 |   75.029 | 2026-05-04 20:15 |   72.642 | ZEIT_EXIT_CLOSE        |   48 |   +5.41 |   +7.07
 48 | P3   | down | 2026-05-05 02:30 |   72.466 | 2026-05-05 03:00 |   72.964 | INITIAL_SL_INTRABAR    |    2 |   -1.00 |   -1.53
 48 | P3   | up   | 2026-05-06 03:15 |   74.292 | 2026-05-06 15:15 |   76.884 | ZEIT_EXIT_CLOSE        |   48 |  +11.27 |   +7.75
 48 | P4   | up   | 2026-05-07 03:15 |   77.835 | 2026-05-07 15:15 |   80.984 | ZEIT_EXIT_CLOSE        |   48 |   +3.11 |   +8.99
 48 | P5   | up   | 2026-05-07 16:15 |   81.800 | 2026-05-07 17:15 |   81.058 | INITIAL_SL_INTRABAR    |    4 |   -1.00 |   -2.02
 48 | P6   | up   | 2026-05-11 14:30 |   82.809 | 2026-05-12 03:30 |   86.093 | ZEIT_EXIT_CLOSE        |   48 |   +1.74 |   +8.81
 48 | P7   | down | 2026-05-12 08:15 |   84.813 | 2026-05-12 20:15 |   85.366 | ZEIT_EXIT_CLOSE        |   48 |   -0.60 |   -1.45
 48 | P8   | up   | 2026-05-13 16:15 |   87.493 | 2026-05-14 05:00 |   86.701 | INITIAL_SL_INTRABAR    |   47 |   -1.00 |   -2.01
 48 | P9   | down | 2026-05-14 15:15 |   86.301 | 2026-05-15 04:15 |   81.079 | ZEIT_EXIT_CLOSE        |   48 |   +8.88 |  +13.45
 48 | P10  | down | 2026-05-15 04:00 |   80.778 | 2026-05-15 16:00 |   76.663 | ZEIT_EXIT_CLOSE        |   48 |   +1.10 |  +11.32
 48 | P11  | down | 2026-05-15 15:45 |   76.000 | 2026-05-15 19:15 |   77.256 | INITIAL_SL_INTRABAR    |   14 |   -1.00 |   -3.67
 48 | P13  | up   | 2026-05-18 15:45 |   77.562 | 2026-05-19 04:45 |   76.327 | ZEIT_EXIT_CLOSE        |   48 |   -0.82 |   -3.54
 48 | P14  | down | 2026-05-19 15:15 |   75.622 | 2026-05-20 04:15 |   73.988 | ZEIT_EXIT_CLOSE        |   48 |   +2.88 |   +4.80
